subset,anchor,target,condition,method,rho,nn_median,nn_mean,false_skip_mean,false_skip_q90,skipped_mae_mean,ef_distance_rank,ef_top1,ef_top5_overlap
seed1,scratch,warm,anchor_gap_endpoint,one_point,0.5950495230654588,0.0016396430969241038,0.09503907003402715,0.0,0.0,0.001002416206836586,0.996728622048933,0.9,0.96
seed1,scratch,warm,anchor_gap_endpoint,euclidean_two_point,0.5993847246411905,0.0016396430969241038,0.10181008497238164,0.0,0.0,0.001002416206836586,0.996728622048933,0.9,0.96
seed1,scratch,warm,anchor_gap_endpoint,fisher_two_point,0.5929815563643873,0.001270948791503912,0.10453910587310795,0.0,0.0,0.0009612508459090163,0.996728622048933,0.9,0.96
seed1,scratch,scratch,anchor_hard_endpoint,one_point,0.5562410603832492,0.010719831085205023,0.11351477659225458,0.033125,0.125,0.004782029454231103,0.9963534946611851,0.925,0.945
seed1,scratch,scratch,anchor_hard_endpoint,euclidean_two_point,0.5523828383170561,0.010719831085205023,0.11684412851333614,0.033125,0.125,0.004782029454231103,0.9963534946611851,0.925,0.945
seed1,scratch,scratch,anchor_hard_endpoint,fisher_two_point,0.5563455656363235,0.010719831085205023,0.13775190519332878,0.033125,0.125,0.004782029454231103,0.9963534946611851,0.925,0.945
seed1,scratch,warm,anchor_hard_endpoint,one_point,0.5803912777156724,0.0016396430969241038,0.09484412834167485,0.0,0.0,0.001002416206836586,0.9963534946611851,0.925,0.945
seed1,scratch,warm,anchor_hard_endpoint,euclidean_two_point,0.5759380165864346,0.0016396430969241038,0.10161514328002937,0.0,0.0,0.001002416206836586,0.9963534946611851,0.925,0.945
seed1,scratch,warm,anchor_hard_endpoint,fisher_two_point,0.5765751730299638,0.0016396430969241038,0.10916083393096929,0.0,0.0,0.001002416206836586,0.9963534946611851,0.925,0.945
seed1,warm,scratch,uniform,one_point,0.3905607671567995,0.008205457687378015,0.05257079668045035,0.1525,0.25,0.06276733868360491,0.999706284123903,0.95,0.9549999999999998
seed1,warm,scratch,uniform,euclidean_two_point,0.38818133909541824,0.008205457687378015,0.052845597858428864,0.189375,0.25,0.06309028889131518,0.999706284123903,0.95,0.9549999999999998
seed1,warm,scratch,uniform,fisher_two_point,0.3902220568786275,0.008205457687378015,0.05273281600952142,0.064375,0.125,0.004802715447425732,0.999706284123903,0.95,0.9549999999999998
seed1,warm,warm,uniform,one_point,0.3889387904874566,0.0016681964874267763,0.028020915336608908,0.125,0.125,0.027313563479900264,0.999706284123903,0.95,0.9549999999999998
seed1,warm,warm,uniform,euclidean_two_point,0.3856879327938819,0.0016681964874267763,0.027932962455749544,0.125,0.125,0.027252643339157,0.999706284123903,0.95,0.9549999999999998
seed1,warm,warm,uniform,fisher_two_point,0.388360764240077,0.0015486171722414177,0.027921366596221953,0.0,0.0,0.0010334790120122494,0.999706284123903,0.95,0.9549999999999998
seed1,warm,scratch,anchor_is,one_point,0.6163205291113575,0.008564367294311648,0.11736137125015249,0.033125,0.125,0.004875518052100943,0.9943840027161474,0.875,0.93
seed1,warm,scratch,anchor_is,euclidean_two_point,0.6192443748505329,0.008564367294311648,0.09487012449264516,0.033125,0.125,0.004875518052100943,0.9943840027161474,0.875,0.93
