length,steps,bank,candidate,probe,geometry,initial_cosine,max_sum_error,max_step_error,minimum_probability,stationary_fraction,endpoint_fr_distance
0.06,30,scratch,4,5,p_euclidean,1.0,2.1316282072803006e-14,4.597524617955262e-13,0.008979971653665911,0.0,0.059999999229565504
0.06,30,scratch,4,5,fisher,1.0,1.249000902703301e-16,4.597524617955262e-13,0.00901247998096266,0.0,0.05999281520899143
0.06,30,scratch,4,6,p_euclidean,0.9999999999999998,1.0658141036401503e-14,4.597524617955262e-13,0.008989371797138712,0.0,0.05999999942885082
0.06,30,scratch,4,6,fisher,0.9999999999999998,8.326672684688674e-17,4.597524617955262e-13,0.00902109413752952,0.0,0.05999280696246535
0.06,30,scratch,4,7,p_euclidean,0.9999999999999999,1.4210854715202004e-14,4.597524617955262e-13,0.008991035477343147,0.0,0.059999999164533684
0.06,30,scratch,4,7,fisher,0.9999999999999999,1.3877787807814457e-16,4.597524617955262e-13,0.009022541612074112,0.0,0.05999281180468456
0.06,30,scratch,4,8,p_euclidean,0.9999999999999998,1.5987211554602254e-14,4.597524617955262e-13,0.00899929469794849,0.0,0.05999999916839044
0.06,30,scratch,4,8,fisher,0.9999999999999998,1.1796119636642288e-16,4.597524617955262e-13,0.009029962160398686,0.0,0.059992811798258334
0.06,30,scratch,4,9,p_euclidean,1.0,2.3092638912203256e-14,4.597524617955262e-13,0.008992550268778274,0.0,0.059999999298372644
0.06,30,scratch,4,9,fisher,1.0,1.249000902703301e-16,4.597524617955262e-13,0.009023959833142609,0.0,0.0599928153283578
0.06,30,scratch,4,10,p_euclidean,1.0,1.0658141036401503e-14,4.597524617955262e-13,0.008984966637530479,0.0,0.05999999960226407
0.06,30,scratch,4,10,fisher,1.0,8.326672684688674e-17,4.597524617955262e-13,0.009017038191228082,0.0,0.05999280862804204
0.06,30,scratch,4,11,p_euclidean,1.0,1.5987211554602254e-14,4.597524617955262e-13,0.008985781220317164,0.0,0.059999999581344325
0.06,30,scratch,4,11,fisher,1.0,9.71445146547012e-17,4.597524617955262e-13,0.00901773498897817,0.0,0.059992817749119146
0.06,30,scratch,4,12,p_euclidean,1.0,2.1316282072803006e-14,4.597524617955262e-13,0.008984678376882983,0.0,0.05999999926657849
0.06,30,scratch,4,12,fisher,1.0,1.6653345369377348e-16,4.597524617955262e-13,0.009016666739687882,0.0,0.05999280574646523
0.06,30,scratch,4,13,p_euclidean,1.0,2.5757174171303632e-14,4.597524617955262e-13,0.008992809649144845,0.0,0.059999998757183565
0.06,30,scratch,4,13,fisher,1.0,1.6653345369377348e-16,2.377074231896259e-13,0.009024092039664712,0.0,0.05999282315351352
0.06,30,scratch,4,14,p_euclidean,1.0,1.1546319456101628e-14,4.597524617955262e-13,0.008987131173252073,0.0,0.059999999579826796
0.06,30,scratch,4,14,fisher,1.0,7.632783294297951e-17,4.597524617955262e-13,0.00901902289865658,0.0,0.05999280150212879
0.06,30,scratch,4,15,p_euclidean,1.0000000000000002,1.2434497875801753e-14,4.597524617955262e-13,0.008992373739322105,0.0,0.05999999931984758
0.06,30,scratch,4,15,fisher,1.0000000000000002,1.1796119636642288e-16,4.597524617955262e-13,0.009023683595748507,0.0,0.05999281971130867
0.06,30,scratch,5,0,p_euclidean,0.9999999999999999,1.3877787807814457e-16,4.597524617955262e-13,0.008904630899263147,0.0,0.05999930232854951
0.06,30,scratch,5,0,fisher,0.9999999999999999,9.75781955236954e-19,4.28426391585468e-13,0.008942958936934475,0.0,0.059992589510279505
