dataset,bank,candidate,probe,geometry,steps,initial_cosine,max_sum_error,max_step_error,minimum_probability,stationary_fraction,endpoint_fr_distance
matched,scratch,2,4,p_euclidean,30,1.0,4.440892098500626e-16,7.165930175634383e-13,0.009306858876465644,0.0,0.029999831591224494
matched,scratch,2,4,fisher,30,1.0,3.469446951953614e-18,6.156748288271841e-13,0.00932505457879793,0.0,0.029999319057069394
matched,scratch,2,4,p_euclidean,60,1.0,4.996003610813204e-16,2.447250843813642e-12,0.009306751802123791,0.0,0.029999831410501998
matched,scratch,2,4,fisher,60,1.0,3.903127820947816e-18,2.447250843813642e-12,0.009325259959883179,0.0,0.02999931854636566
matched,scratch,2,5,initial,0,1.0,1.6653345369377348e-16,0.0,0.01,0.0,0.0
matched,scratch,2,5,p_euclidean,30,1.0,2.914335439641036e-16,7.165930175634383e-13,0.009247855157848116,0.0,0.029999757799273517
matched,scratch,2,5,fisher,30,1.0,2.3852447794681098e-18,7.165930175634383e-13,0.009268675260727081,0.0,0.02999923971636177
matched,scratch,2,5,p_euclidean,60,1.0,3.608224830031759e-16,1.105462834986859e-12,0.009247724817802398,0.0,0.029999757535901807
matched,scratch,2,5,fisher,60,1.0,2.927345865710862e-18,1.5590724241135168e-12,0.009268902794651373,0.0,0.0299992391799275
matched,scratch,2,6,initial,0,0.9999999999999998,8.326672684688674e-17,0.0,0.01,0.0,0.0
matched,scratch,2,6,p_euclidean,30,0.9999999999999998,3.3306690738754696e-16,1.0597640386772467e-12,0.009483579212067892,0.0,0.029999704837576205
matched,scratch,2,6,fisher,30,0.9999999999999998,2.3852447794681098e-18,1.160682227413501e-12,0.009493932352388983,0.0,0.029999185309863334
matched,scratch,2,6,p_euclidean,60,0.9999999999999998,3.3306690738754696e-16,1.993641254686984e-12,0.009483516578429699,0.0,0.029999704675727632
matched,scratch,2,6,fisher,60,0.9999999999999998,1.951563910473908e-18,2.8818196743871094e-12,0.00949404767090275,0.0,0.02999918454011814
matched,scratch,2,7,initial,0,1.0,0.0,0.0,0.01,0.0,0.0
matched,scratch,2,7,p_euclidean,30,1.0,3.885780586188048e-16,7.165930175634383e-13,0.009245532189119738,0.0,0.02999969389311408
matched,scratch,2,7,fisher,30,1.0,2.168404344971009e-18,7.165930175634383e-13,0.009268172757976837,0.0,0.02999913047777088
matched,scratch,2,7,p_euclidean,60,1.0,3.885780586188048e-16,1.993641254686984e-12,0.009245367849641839,0.0,0.02999969358161505
matched,scratch,2,7,fisher,60,1.0,3.0357660829594124e-18,1.5590724241135168e-12,0.009268399378591634,0.0,0.029999129816448467
