epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,2399,,,,24.941682815551758,,,,,,
119,2399,,,,,,-0.5957612991333008,-51.21999740600586,-55.09916687011719,,
119,2399,,,,,,,,,-51.92399978637695,-55.0976676940918
,2400,,,236.26340627670288,,,,,,,
120,2419,,,,,,,,,-51.90299987792969,-55.05046081542969
,2420,,,237.04336428642273,,,,,,,
121,2439,,,,,,,,,-51.9109992980957,-54.996883392333984
,2440,,,209.0958695411682,,,,,,,
,2449,,,,,4750.616073608398,,,,,
,2449,,,,16.288280487060547,,,,,,
122,2449,,,,,,-1.2603633403778076,-52.02000045776367,-55.91083526611328,,
122,2459,,,,,,,,,-51.94900131225586,-55.13154220581055
,2460,,,177.08206844329834,,,,,,,
123,2479,,,,,,,,,-51.90999984741211,-55.04062271118164
,2480,,,178.6360204219818,,,,,,,
,2499,,,,,4741.524934768677,,,,,
,2499,,,,24.492740631103516,,,,,,
124,2499,,,,,,-1.5739182233810425,-50.81999969482422,-54.97083282470703,,
124,2499,,,,,,,,,-51.93299865722656,-55.03708267211914
,2500,,,179.21154260635376,,,,,,,
125,2519,,,,,,,,,-51.939998626708984,-55.075462341308594
,2520,,,178.98272824287415,,,,,,,
126,2539,,,,,,,,,-51.900001525878906,-55.047462463378906
,2540,,,176.82317972183228,,,,,,,
,2549,,,,,5277.894496917725,,,,,
,2549,,,,13.654470443725586,,,,,,
127,2549,,,,,,-0.43469688296318054,-51.15999984741211,-55.016666412353516,,
127,2559,,,,,,,,,-51.89099884033203,-55.00517272949219
,2560,,,177.93071126937866,,,,,,,
128,2579,,,,,,,,,-51.7869987487793,-54.97346115112305
,2580,,,177.20508337020874,,,,,,,
,2599,,,,,4875.827074050903,,,,,
,2599,,,,24.57904815673828,,,,,,
129,2599,,,,,,-0.490435391664505,-51.19999694824219,-55.122501373291016,,
129,2599,,,,,,,,,-51.86199951171875,-55.03662109375
,2600,,,177.7800555229187,,,,,,,
130,2619,,,,,,,,,-51.845001220703125,-55.09059143066406
,2620,,,179.8120458126068,,,,,,,
131,2639,,,,,,,,,-51.89899826049805,-55.06203842163086
,2640,,,179.0854070186615,,,,,,,
,2649,,,,,4828.23920249939,,,,,
,2649,,,,11.459112167358398,,,,,,
132,2649,,,,,,-1.4959338903427124,-51.23999786376953,-55.0341682434082,,
132,2659,,,,,,,,,-51.85499954223633,-55.07283020019531
,2660,,,178.19116735458374,,,,,,,
133,2679,,,,,,,,,-51.90299987792969,-55.08163070678711
,2680,,,175.6267123222351,,,,,,,
,2699,,,,,4818.324565887451,,,,,
,2699,,,,24.671316146850586,,,,,,
134,2699,,,,,,-1.1802228689193726,-51.55999755859375,-55.4275016784668,,
134,2699,,,,,,,,,-51.86800003051758,-55.060123443603516
,2700,,,178.7545042037964,,,,,,,
135,2719,,,,,,,,,-51.948001861572266,-55.083377838134766
,2720,,,178.35594701766968,,,,,,,
136,2739,,,,,,,,,-51.849998474121094,-55.049415588378906
,2740,,,179.3595073223114,,,,,,,
,2749,,,,,4748.354434967041,,,,,
,2749,,,,12.182950973510742,,,,,,
137,2749,,,,,,-1.1448783874511719,-51.119998931884766,-55.0625,,
137,2759,,,,,,,,,-51.944000244140625,-55.039161682128906
,2760,,,177.88199019432068,,,,,,,
138,2779,,,,,,,,,-51.8380012512207,-55.060001373291016
,2780,,,177.64506840705872,,,,,,,
,2799,,,,,4843.0657386779785,,,,,
,2799,,,,29.728412628173828,,,,,,
139,2799,,,,,,-0.5367360711097717,-51.53999710083008,-55.5775032043457,,
139,2799,,,,,,,,,-51.88100051879883,-55.095333099365234
,2800,,,178.2478642463684,,,,,,,
140,2819,,,,,,,,,-51.8390007019043,-55.03874969482422
,2820,,,180.48103547096252,,,,,,,
141,2839,,,,,,,,,-51.88999938964844,-55.03529357910156
,2840,,,177.56534504890442,,,,,,,
,2849,,,,,4789.713382720947,,,,,
,2849,,,,12.266397476196289,,,,,,
142,2849,,,,,,-1.7767733335494995,-51.439998626708984,-55.38500213623047,,
142,2859,,,,,,,,,-51.922000885009766,-55.1049919128418
,2860,,,179.45167803764343,,,,,,,
143,2879,,,,,,,,,-51.90399932861328,-55.03696060180664
,2880,,,176.61699891090393,,,,,,,
,2899,,,,,4825.774192810059,,,,,
,2899,,,,24.339675903320312,,,,,,
144,2899,,,,,,-0.26528850197792053,-50.91999816894531,-54.94000244140625,,
144,2899,,,,,,,,,-51.926998138427734,-55.0715446472168
,2900,,,177.97039604187012,,,,,,,
145,2919,,,,,,,,,-51.80799865722656,-54.93812561035156
,2920,,,177.9798548221588,,,,,,,
146,2939,,,,,,,,,-51.89500045776367,-55.07158660888672
,2940,,,232.28138279914856,,,,,,,
,2949,,,,,6193.416357040405,,,,,
,2949,,,,12.811660766601562,,,,,,
147,2949,,,,,,-1.8065810203552246,-51.619998931884766,-55.519168853759766,,
147,2959,,,,,,,,,-51.84199905395508,-54.995086669921875
,2960,,,236.41676902770996,,,,,,,
148,2979,,,,,,,,,-51.90599822998047,-54.98362350463867
,2980,,,233.9810495376587,,,,,,,
,2999,,,,,6782.955646514893,,,,,
,2999,,,,26.153564453125,,,,,,
149,2999,,,,,,-1.8187174797058105,-51.31999969482422,-55.290000915527344,,
149,2999,,,,,,,,,-51.85200119018555,-55.06692123413086
,3000,,,237.15226078033447,,,,,,,
150,3000,-51.957000732421875,-55.093421936035156,,,,,,,,
