problem,problem_label,condition,condition_label,target_size,bin,delta_cost_min,delta_cost_max,delta_cost_mid,weight_mean,weight_q25,weight_q75,count
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,7.0,22.000244140625,25.9998779296875,24.0,1.3344998790486025,1.2311356365680695,1.4413263499736786,1010.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,8.0,26.0,29.0,27.999755859375,1.5511969533865684,1.424210786819458,1.6894041299819946,1013.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,9.0,29.0001220703125,32.999755859375,31.0,1.7655736732865528,1.6268093585968018,1.9135944843292236,997.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,10.0,32.9998779296875,36.0,34.000244140625,2.017989499245337,1.8523736596107483,2.213299036026001,1002.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,11.0,36.0001220703125,40.0,38.0001220703125,2.2759372645411,2.066683530807495,2.5087015628814697,1015.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,12.0,40.0001220703125,44.0,42.0,2.5559567988679266,2.316424608230591,2.8600804805755615,1019.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,13.0,44.0001220703125,48.999755859375,46.0001220703125,2.75357986499652,2.588059663772583,3.0,1022.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,14.0,48.9998779296875,53.9996337890625,51.0,2.9053380637506225,2.891615867614746,3.0,1046.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,15.0,53.999755859375,58.999755859375,56.0,2.9738305819106534,3.0,3.0,994.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,16.0,58.9998779296875,64.0,61.0001220703125,2.9962873327812556,3.0,3.0,1037.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,17.0,64.0001220703125,69.9998779296875,67.0,2.999223724623357,3.0,3.0,968.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,18.0,70.0,76.9998779296875,73.0001220703125,3.0,3.0,3.0,1041.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,19.0,77.0,84.9998779296875,80.999755859375,3.0,3.0,3.0,1004.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,20.0,85.0,95.0003662109375,89.9998779296875,3.0,3.0,3.0,1036.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,21.0,95.9996337890625,108.9998779296875,101.0001220703125,3.0,3.0,3.0,1009.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,22.0,109.0,130.0003662109375,118.0,3.0,3.0,3.0,1019.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,23.0,130.999755859375,274.0,149.99993896484375,3.0,3.0,3.0,1016.0
